,Unnamed: 0,model,trial,Target ID,Selection Metric,nb_epoch,learning_rate,n_tasks,graph_conv_layers,dense_layer_size,dropout,mode,number_atom_features,loss_func,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss,max_depth,n_estimators,C,kernel,n_neighbors,strategy
0,0,GCN,0,CHEMBL220,Oracle,100.0,0.001,1.0,"[256, 256]",512.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x149b2e58edc0>,,,,,,,,,,,,,,
1,1,GCN,1,CHEMBL220,Oracle,200.0,0.001,1.0,"[256, 256]",64.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x149b2c2da100>,,,,,,,,,,,,,,
2,2,GCN,2,CHEMBL220,Oracle,200.0,0.001,1.0,"[256, 256]",1024.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x14afc32384f0>,,,,,,,,,,,,,,
3,3,GCN,3,CHEMBL220,Oracle,200.0,0.001,1.0,"[64, 64]",256.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x14afa024a910>,,,,,,,,,,,,,,
4,4,GCN,4,CHEMBL220,Oracle,200.0,0.001,1.0,"[256, 256]",64.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x149b2c3e83a0>,,,,,,,,,,,,,,
5,5,DNN,0,CHEMBL220,Oracle,,,,,,,,,,"(100, 250, 500)",0.0,tanh,0.01,200.0,50.0,0.0746756007429212,0.5184370717897205,,,,,,
6,6,DNN,1,CHEMBL220,Oracle,,,,,,,,,,"(100, 100)",0.0,tanh,0.01,200.0,27.0,0.0857905720476992,0.4885959432202018,,,,,,
7,7,DNN,2,CHEMBL220,Oracle,,,,,,,,,,"(100, 100)",0.0,tanh,0.01,200.0,88.0,0.0512793037923984,0.4264313871752431,,,,,,
8,8,DNN,3,CHEMBL220,Oracle,,,,,,,,,,"(100, 250, 500)",0.0,tanh,0.01,200.0,58.0,0.0916529865935444,0.4854017692367902,,,,,,
9,9,DNN,4,CHEMBL220,Oracle,,,,,,,,,,"(250, 500)",0.0,tanh,0.01,200.0,123.0,0.0419353639590553,0.4929115420570944,,,,,,
10,10,XGBoost,0,CHEMBL220,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,100.0,,,,
11,11,XGBoost,1,CHEMBL220,Oracle,,0.1,,,,,,,,,,,,,,,,5.0,250.0,,,,
12,12,XGBoost,2,CHEMBL220,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,100.0,,,,
13,13,XGBoost,3,CHEMBL220,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,250.0,,,,
14,14,XGBoost,4,CHEMBL220,Oracle,,0.1,,,,,,,,,,,,,,,,5.0,250.0,,,,
15,15,SVR,0,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,100.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
16,16,SVR,1,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
17,17,SVR,2,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
18,18,SVR,3,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
19,19,SVR,4,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
20,20,kNN,0,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
21,21,kNN,1,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
22,22,kNN,2,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
23,23,kNN,3,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
24,24,kNN,4,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
25,25,MR,0,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
26,26,MR,1,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
27,27,MR,2,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
28,28,MR,3,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
29,29,MR,4,CHEMBL220,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
