,Unnamed: 0,model,trial,Target ID,Selection Metric,nb_epoch,learning_rate,n_tasks,graph_conv_layers,dense_layer_size,dropout,mode,number_atom_features,loss_func,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss,max_depth,n_estimators,C,kernel,n_neighbors,strategy
0,0,GCN,0,CHEMBL230,Oracle,200.0,0.001,1.0,"[256, 256]",64.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x149a600afb50>,,,,,,,,,,,,,,
1,1,GCN,1,CHEMBL230,Oracle,200.0,0.01,1.0,"[1024, 1024]",256.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x14afb8e03130>,,,,,,,,,,,,,,
2,2,GCN,2,CHEMBL230,Oracle,100.0,0.001,1.0,"[256, 256]",512.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x14af4853b5b0>,,,,,,,,,,,,,,
3,3,GCN,3,CHEMBL230,Oracle,200.0,0.001,1.0,"[256, 256]",256.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x149a81ce6160>,,,,,,,,,,,,,,
4,4,GCN,4,CHEMBL230,Oracle,200.0,0.001,1.0,"[512, 512]",64.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x149a9945e280>,,,,,,,,,,,,,,
5,5,DNN,0,CHEMBL230,Oracle,,,,,,,,,,"(500, 250)",0.0,tanh,0.001,200.0,10.0,0.2046833353286439,0.2871824696420859,,,,,,
6,6,DNN,1,CHEMBL230,Oracle,,,,,,,,,,"(500, 250)",0.0,tanh,0.01,200.0,73.0,0.0707095533778721,0.3714853506753636,,,,,,
7,7,DNN,2,CHEMBL230,Oracle,,,,,,,,,,"(100, 100)",0.0,tanh,0.001,200.0,19.0,0.207248488610441,0.334604173907004,,,,,,
8,8,DNN,3,CHEMBL230,Oracle,,,,,,,,,,"(100, 100)",0.0,tanh,0.001,200.0,15.0,0.3545102019878951,0.4430384491555713,,,,,,
9,9,DNN,4,CHEMBL230,Oracle,,,,,,,,,,"(100, 250, 500)",0.0,tanh,0.01,200.0,29.0,0.0374216544865207,0.2981867682518602,,,,,,
10,10,XGBoost,0,CHEMBL230,Oracle,,0.01,,,,,,,,,,,,,,,,10.0,250.0,,,,
11,11,XGBoost,1,CHEMBL230,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,100.0,,,,
12,12,XGBoost,2,CHEMBL230,Oracle,,0.1,,,,,,,,,,,,,,,,5.0,100.0,,,,
13,13,XGBoost,3,CHEMBL230,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,50.0,,,,
14,14,XGBoost,4,CHEMBL230,Oracle,,0.1,,,,,,,,,,,,,,,,5.0,250.0,,,,
15,15,SVR,0,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
16,16,SVR,1,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
17,17,SVR,2,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,10000.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
18,18,SVR,3,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,10000.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
19,19,SVR,4,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,10000.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
20,20,kNN,0,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
21,21,kNN,1,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
22,22,kNN,2,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,,,3.0,
23,23,kNN,3,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,,,3.0,
24,24,kNN,4,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
25,25,MR,0,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
26,26,MR,1,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
27,27,MR,2,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
28,28,MR,3,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
29,29,MR,4,CHEMBL230,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
