,Unnamed: 0,model,trial,Target ID,Selection Metric,nb_epoch,learning_rate,n_tasks,graph_conv_layers,dense_layer_size,dropout,mode,number_atom_features,loss_func,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss,max_depth,n_estimators,C,kernel,n_neighbors,strategy
0,0,GCN,0,CHEMBL260,Oracle,100.0,0.001,1.0,"[512, 512]",512.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x149b2d9736d0>,,,,,,,,,,,,,,
1,1,GCN,1,CHEMBL260,Oracle,100.0,0.001,1.0,"[256, 256]",512.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x14af48496ac0>,,,,,,,,,,,,,,
2,2,GCN,2,CHEMBL260,Oracle,100.0,0.001,1.0,"[256, 256]",512.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x149a8c22d8e0>,,,,,,,,,,,,,,
3,3,GCN,3,CHEMBL260,Oracle,100.0,0.001,1.0,"[256, 256]",256.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x149a684e9880>,,,,,,,,,,,,,,
4,4,GCN,4,CHEMBL260,Oracle,100.0,0.001,1.0,"[512, 512]",512.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x14afc2d165e0>,,,,,,,,,,,,,,
5,5,DNN,0,CHEMBL260,Oracle,,,,,,,,,,"(100, 100)",0.0,tanh,0.001,200.0,17.0,0.1309424243294275,0.348814266877064,,,,,,
6,6,DNN,1,CHEMBL260,Oracle,,,,,,,,,,"(250, 500)",0.0,tanh,0.01,200.0,58.0,0.0188300245298215,0.3532619521861907,,,,,,
7,7,DNN,2,CHEMBL260,Oracle,,,,,,,,,,"(100, 250, 500)",0.0,tanh,0.01,200.0,130.0,0.0922480535765106,0.3817201316627442,,,,,,
8,8,DNN,3,CHEMBL260,Oracle,,,,,,,,,,"(100, 250, 500)",0.0,tanh,0.01,200.0,42.0,0.0150215393111396,0.3477357878105701,,,,,,
9,9,DNN,4,CHEMBL260,Oracle,,,,,,,,,,"(100, 100)",0.0,tanh,0.001,200.0,18.0,0.1368273424271207,0.3912755475547536,,,,,,
10,10,XGBoost,0,CHEMBL260,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,100.0,,,,
11,11,XGBoost,1,CHEMBL260,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,100.0,,,,
12,12,XGBoost,2,CHEMBL260,Oracle,,0.1,,,,,,,,,,,,,,,,5.0,250.0,,,,
13,13,XGBoost,3,CHEMBL260,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,100.0,,,,
14,14,XGBoost,4,CHEMBL260,Oracle,,0.1,,,,,,,,,,,,,,,,5.0,250.0,,,,
15,15,SVR,0,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,100.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
16,16,SVR,1,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
17,17,SVR,2,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
18,18,SVR,3,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
19,19,SVR,4,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
20,20,kNN,0,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
21,21,kNN,1,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,,,3.0,
22,22,kNN,2,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
23,23,kNN,3,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
24,24,kNN,4,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
25,25,MR,0,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
26,26,MR,1,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
27,27,MR,2,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
28,28,MR,3,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
29,29,MR,4,CHEMBL260,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
