,Unnamed: 0,model,trial,Target ID,Selection Metric,nb_epoch,learning_rate,n_tasks,graph_conv_layers,dense_layer_size,dropout,mode,number_atom_features,loss_func,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss,max_depth,n_estimators,C,kernel,n_neighbors,strategy
0,0,GCN,0,CHEMBL4005,Oracle,200.0,0.001,1.0,"[1024, 1024]",256.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x14af496a27c0>,,,,,,,,,,,,,,
1,1,GCN,1,CHEMBL4005,Oracle,100.0,0.001,1.0,"[256, 256]",512.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x14af49913820>,,,,,,,,,,,,,,
2,2,GCN,2,CHEMBL4005,Oracle,100.0,0.001,1.0,"[64, 64]",1024.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x149a75736b50>,,,,,,,,,,,,,,
3,3,GCN,3,CHEMBL4005,Oracle,100.0,0.001,1.0,"[256, 256]",512.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x14afa1dc0b20>,,,,,,,,,,,,,,
4,4,GCN,4,CHEMBL4005,Oracle,200.0,0.001,1.0,"[256, 256]",1024.0,0.0,regression,30.0,<deepchem.models.losses.L2Loss object at 0x14af4887c100>,,,,,,,,,,,,,,
5,5,DNN,0,CHEMBL4005,Oracle,,,,,,,,,,"(500, 250)",0.0,tanh,0.01,200.0,61.0,0.1787411359449227,0.3806627640358717,,,,,,
6,6,DNN,1,CHEMBL4005,Oracle,,,,,,,,,,"(100, 100)",0.0,tanh,0.01,200.0,12.0,0.256459705842038,0.3826461308948511,,,,,,
7,7,DNN,2,CHEMBL4005,Oracle,,,,,,,,,,"(100, 250, 500)",0.0,tanh,0.01,200.0,27.0,0.0906866875787576,0.3700460859732825,,,,,,
8,8,DNN,3,CHEMBL4005,Oracle,,,,,,,,,,"(100, 100)",0.0,tanh,0.001,200.0,18.0,0.1266918464874228,0.4377502936384246,,,,,,
9,9,DNN,4,CHEMBL4005,Oracle,,,,,,,,,,"(500, 250)",0.0,tanh,0.01,200.0,11.0,0.2390023488551378,0.3767798405944619,,,,,,
10,10,XGBoost,0,CHEMBL4005,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,100.0,,,,
11,11,XGBoost,1,CHEMBL4005,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,250.0,,,,
12,12,XGBoost,2,CHEMBL4005,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,100.0,,,,
13,13,XGBoost,3,CHEMBL4005,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,250.0,,,,
14,14,XGBoost,4,CHEMBL4005,Oracle,,0.1,,,,,,,,,,,,,,,,10.0,250.0,,,,
15,15,SVR,0,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
16,16,SVR,1,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
17,17,SVR,2,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
18,18,SVR,3,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,10.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
19,19,SVR,4,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,10000.0,<function tanimoto_from_sparse at 0x14b0da2c4ee0>,,
20,20,kNN,0,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
21,21,kNN,1,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,,,3.0,
22,22,kNN,2,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
23,23,kNN,3,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
24,24,kNN,4,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,,,5.0,
25,25,MR,0,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
26,26,MR,1,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
27,27,MR,2,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
28,28,MR,3,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
29,29,MR,4,CHEMBL4005,Oracle,,,,,,,,,,,,,,,,,,,,,,,median
